,cluster_id,firing_rate,presence_ratio,isi_viol,amplitude_cutoff,isolation_distance,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette_score,max_drift,cumulative_drift,epoch_name_quality_metrics,epoch_name_waveform_metrics,peak_channel,snr,duration,halfwidth,PT_ratio,repolarization_slope,recovery_slope,amplitude,spread,velocity_above,velocity_below
53,56,6.526598911666357,0.99,0.07719121739586823,0.01147846192033411,61.88282589237391,0.006295963042082428,4.724312533054862,0.8571428571428571,0.0032392253136933986,0.04695386081908837,18.42,81.76,complete_session,complete_session,24,3.16169413163211,0.5494137353433837,0.2060301507537689,0.4650449695520975,0.446141254531626,-0.10982572252549973,165.37091999999996,60.00000000000001,0.0,0.0
54,57,0.005712380654767216,0.38,0.0,0.1148840666200781,41.470734142454354,4.6550237763564343e-05,3.162009532938383,,0.0,,,0.0,complete_session,complete_session,23,1.6448061648996668,0.5219430485762143,0.370854271356784,0.9760787786178692,0.2871082618487669,-0.022913181145657727,121.96205357142858,130.00000000000003,-0.6867671691792296,0.4006141820212171
55,58,12.013748557759895,0.99,0.24450509436379717,0.09088752181085477,76.11286668534746,0.00479686284141149,4.174311870855823,0.9410430839002267,0.006381420650695679,0.06317253600248274,27.42,115.17,complete_session,complete_session,25,2.7730613790522347,0.5494137353433837,0.19229480737018426,0.6288360546977158,0.37816252674327017,-0.08865171608038135,133.21541999999997,60.00000000000001,1.0301507537688452,0.20603015075376824
56,59,3.423144107369254,0.99,0.23818575408859285,0.5,51.01593479600894,0.004013258010477854,3.1844025511572864,0.8222222222222222,0.0009446693657219973,0.07848858476157962,11.66,198.64,complete_session,complete_session,26,2.0197130535431174,0.5906197654941373,0.3296482412060302,0.5760527425672446,0.2735817183439897,-0.07064047368515487,115.05584999999996,110.0,1.3048576214405354,0.1226369944962911
57,60,9.723185921995647,0.99,0.0008088278612511668,0.0001629236552501901,142.42781268612669,2.6208236053197974e-07,7.392887026339078,0.9970845481049563,0.00013806910358634496,0.2412617105939726,17.85,38.53,complete_session,complete_session,26,4.9647793215543015,0.4807370184254607,0.16482412060301516,0.4836766813145026,0.940871414974872,-0.1836612394377612,286.10712,50.0,0.34338358458961504,0.3433835845896137
58,61,5.438492403730609,0.99,0.012926657288549971,0.0003156572912613477,91.61344612200696,3.8759381261491134e-05,6.918254547674196,0.9873188405797102,0.00013583265417006248,0.20956540986731315,22.09,93.33,complete_session,complete_session,27,3.6527023859620233,0.5631490787269682,0.19229480737018426,0.5240194956641746,0.5688348555330941,-0.10335038350551973,195.3045900000001,50.0,1.0301507537688441,-0.3433835845896137
59,62,13.037386769734699,0.99,0.024743143476960043,0.0015876226180854705,83.54445795450825,0.0006775856770134919,4.395950450810817,0.9744168547780286,0.0011509888040179973,0.21037090608710768,24.96,68.2,complete_session,complete_session,27,3.4627755408836376,0.535678391959799,0.19229480737018426,0.503459663675069,0.5904815165730949,-0.10677579784203296,176.83068,60.00000000000001,0.4120603015075381,0.3433835845896137
60,63,0.016525101179862303,0.71,0.0,0.3038585052948096,22.789844764652166,0.017045722645027475,2.9255637621576636,,0.0,,,0.0,complete_session,complete_session,23,1.9406055047711863,0.6318257956448909,0.2747068676716918,0.7847425366309941,0.3008146804162393,-0.07168183726506516,137.357037037037,160.0,0.9500279173646006,0.0735821966977745
61,64,5.341687952991786,0.99,0.004019828398337302,4.9418042625194026e-06,112.4113226896888,3.1925630950602272e-06,6.383901208847863,0.9964726631393298,0.000135901878843475,0.29409097078276275,30.37,157.77,complete_session,complete_session,30,4.821614811225701,0.5219430485762144,0.16482412060301505,0.4987638699892325,1.0298550619944782,-0.19309068411298616,323.32053,70.00000000000001,1.3735343383584588,0.3433835845896143
62,65,7.563804027696233,0.99,0.008019439167761074,0.0005068914241622581,86.89889317600903,8.312730435305013e-05,4.983874545555109,0.9875621890547264,0.00010275380189066995,0.1444722630382202,19.73,86.38,complete_session,complete_session,28,2.9736434990536362,0.4944723618090452,0.17855946398659958,0.4080757001948625,0.5781687626457687,-0.08849634704920206,182.29887000000005,70.00000000000001,0.4807370184254611,0.4120603015075373
